TS,VEJNAVN,BESKRIVELSE,HUSNUMMER,ÅR,DATO,KATEGORI,TÆLLESTEDSTYPE,ANTAL 6-7,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,X-KOORDINAT,Y-KOORDINAT
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,CYKLER I ALT,ANDRE FASTE TÆLLINGER,742,938,773,324,333,359,371,432,530,670,1514,699,424,8109,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,LET TRAFIK I ALT,ANDRE FASTE TÆLLINGER,2109,2562,2603,1964,1825,1883,1757,1993,1988,2547,3622,2726,2305,29884,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,TUNG TRAFIK I ALT,ANDRE FASTE TÆLLINGER,248,296,348,348,337,284,269,309,294,266,207,154,106,3466,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,CYKLER I ALT,ANDRE FASTE TÆLLINGER,605,848,704,297,317,256,334,346,507,624,1345,487,367,7037,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,LET TRAFIK I ALT,ANDRE FASTE TÆLLINGER,2161,2617,2803,2087,2021,1842,1756,1961,2205,2729,3945,2562,2519,31208,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,TUNG TRAFIK I ALT,ANDRE FASTE TÆLLINGER,244,345,408,364,391,350,298,333,329,267,177,118,95,3719,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,CYKLER I ALT,ANDRE FASTE TÆLLINGER,466,566,420,200,158,169,214,181,242,373,781,326,178,4274,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,LET TRAFIK I ALT,ANDRE FASTE TÆLLINGER,1908,2809,2872,1895,1782,1615,1820,1921,2146,2752,4025,2427,2185,30157,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,TUNG TRAFIK I ALT,ANDRE FASTE TÆLLINGER,259,348,394,397,344,322,315,298,341,299,204,138,87,3746,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-04-26,CYKLER I ALT,ANDRE FASTE TÆLLINGER,428,486,442,192,169,178,175,192,275,503,685,362,198,4285,55.677960848602766,12.565491397230993
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-04-26,LET TRAFIK I ALT,ANDRE FASTE TÆLLINGER,2107,2765,3036,2045,2099,1904,1947,1931,2145,2936,3901,2822,2316,31954,55.677960848602766,12.565491397230993
