TS,VEJNAVN,BESKRIVELSE,HUSNUMMER,ÅR,DATO,KATEGORI,TÆLLESTEDSTYPE,ANTAL 6-7,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,X-KOORDINAT,Y-KOORDINAT,MOTERTRAFIK I ALT ÅDT,MOTERTRAFIK I ALT HDT,CYKLER I ALT ÅDT,CYKLER I ALT HDT,FODGÆNGERE I ALT ÅDT,FODGÆNGERE I ALT HDT
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,CYKLER I ALT,ANDRE FASTE TÆLLINGER,742.0,938.0,773.0,324.0,333.0,359.0,371.0,432.0,530.0,670.0,1514.0,699.0,424.0,8109.0,55.677960848602766,12.565491397230993,0,0,8400,9900,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2357.0,2858.0,2951.0,2312.0,2162.0,2167.0,2026.0,2302.0,2282.0,2813.0,3829.0,2880.0,2411.0,33350.0,55.677960848602766,12.565491397230993,39000,43700,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,CYKLER I ALT,ANDRE FASTE TÆLLINGER,605.0,848.0,704.0,297.0,317.0,256.0,334.0,346.0,507.0,624.0,1345.0,487.0,367.0,7037.0,55.677960848602766,12.565491397230993,0,0,7200,8600,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2405.0,2962.0,3211.0,2451.0,2412.0,2192.0,2054.0,2294.0,2534.0,2996.0,4122.0,2680.0,2614.0,34927.0,55.677960848602766,12.565491397230993,40900,45800,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,CYKLER I ALT,ANDRE FASTE TÆLLINGER,466.0,566.0,420.0,200.0,158.0,169.0,214.0,181.0,242.0,373.0,781.0,326.0,178.0,4274.0,55.677960848602766,12.565491397230993,0,0,4400,5200,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2167.0,3157.0,3266.0,2292.0,2126.0,1937.0,2135.0,2219.0,2487.0,3051.0,4229.0,2565.0,2272.0,33903.0,55.677960848602766,12.565491397230993,39700,44400,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-04-26,CYKLER I ALT,ANDRE FASTE TÆLLINGER,428.0,486.0,442.0,192.0,169.0,178.0,175.0,192.0,275.0,503.0,685.0,362.0,198.0,4285.0,55.677960848602766,12.565491397230993,0,0,4400,5200,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-04-26,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2373.0,3100.0,3431.0,2433.0,2485.0,2292.0,2269.0,2290.0,2472.0,3250.0,4139.0,2985.0,2442.0,35961.0,55.677960848602766,12.565491397230993,42100,47100,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1974,1974-09-17,CYKLER I ALT,ANDRE FASTE TÆLLINGER,525.0,810.0,675.0,366.0,281.0,259.0,318.0,358.0,495.0,652.0,1298.0,552.0,280.0,6869.0,55.677960848602766,12.565491397230993,0,0,7100,8400,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1974,1974-09-17,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2427.0,3444.0,3549.0,2817.0,2310.0,2366.0,2364.0,2534.0,2775.0,3535.0,4535.0,2712.0,2372.0,37740.0,55.677960848602766,12.565491397230993,44200,49400,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1975,1975-06-17,CYKLER I ALT,ANDRE FASTE TÆLLINGER,711.0,1075.0,948.0,421.0,412.0,414.0,575.0,667.0,690.0,1082.0,1403.0,628.0,586.0,9612.0,55.677960848602766,12.565491397230993,0,0,9900,11700,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1975,1975-06-17,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2446.0,3826.0,4223.0,2737.0,2527.0,2556.0,2594.0,2733.0,2894.0,3766.0,4422.0,2916.0,2441.0,40081.0,55.677960848602766,12.565491397230993,46900,52500,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1976,1976-06-10,CYKLER I ALT,ANDRE FASTE TÆLLINGER,478.0,857.0,602.0,305.0,294.0,271.0,243.0,248.0,441.0,769.0,850.0,401.0,339.0,6098.0,55.677960848602766,12.565491397230993,0,0,6300,7400,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1976,1976-06-10,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2193.0,3493.0,3793.0,2697.0,2452.0,2475.0,2268.0,2541.0,2966.0,3877.0,4486.0,3333.0,2801.0,39375.0,55.677960848602766,12.565491397230993,46100,51600,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1977,1977-06-09,CYKLER I ALT,ANDRE FASTE TÆLLINGER,384.0,541.0,606.0,315.0,259.0,291.0,269.0,311.0,439.0,711.0,741.0,242.0,166.0,5275.0,55.677960848602766,12.565491397230993,0,0,5400,6400,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1977,1977-06-09,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2216.0,3568.0,4387.0,2551.0,2530.0,2362.0,2501.0,2602.0,3016.0,4074.0,4429.0,3040.0,2869.0,40145.0,55.677960848602766,12.565491397230993,47000,52600,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1978,1978-06-08,CYKLER I ALT,ANDRE FASTE TÆLLINGER,437.0,656.0,510.0,236.0,142.0,198.0,144.0,244.0,329.0,634.0,731.0,345.0,240.0,4846.0,55.677960848602766,12.565491397230993,0,0,5000,5900,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1978,1978-06-08,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2317.0,3366.0,3589.0,2623.0,2318.0,2259.0,2137.0,2459.0,2485.0,3789.0,4196.0,2876.0,2535.0,36949.0,55.677960848602766,12.565491397230993,43200,48400,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1979,1979-06-19,CYKLER I ALT,ANDRE FASTE TÆLLINGER,491.0,707.0,733.0,309.0,299.0,308.0,310.0,385.0,388.0,788.0,966.0,475.0,262.0,6421.0,55.677960848602766,12.565491397230993,0,0,6600,7800,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1979,1979-06-19,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2252.0,3514.0,4053.0,2519.0,2244.0,2245.0,2660.0,2484.0,2686.0,3664.0,4230.0,2764.0,2216.0,37531.0,55.677960848602766,12.565491397230993,43900,49200,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1980,1980-06-17,CYKLER I ALT,ANDRE FASTE TÆLLINGER,408.0,804.0,750.0,273.0,195.0,177.0,177.0,241.0,371.0,703.0,834.0,392.0,298.0,5623.0,55.677960848602766,12.565491397230993,0,0,5800,6900,0,0
