række,database_id,TS,VEJNAVN,ÅR,DATO,RETNING,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,SUM ANTAL,ANTAL 7-8_PERCENT,ANTAL 8-9_PERCENT,ANTAL 9-10_PERCENT,ANTAL 10-11_PERCENT,ANTAL 11-12_PERCENT,ANTAL 12-13_PERCENT,ANTAL 13-14_PERCENT,ANTAL 14-15_PERCENT,ANTAL 15-16_PERCENT,ANTAL 16-17_PERCENT,ANTAL 17-18_PERCENT,ANTAL 18-19_PERCENT,SUM ANTAL_PERCENT
137512,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),PERSONBILER + MC,121,128,124,120,148,141,157,205,280,388,236,178,2226,0.8175675675675675,0.7664670658682635,0.7251461988304093,0.6936416184971098,0.714975845410628,0.7421052631578947,0.7658536585365854,0.7427536231884058,0.8308605341246291,0.9107981220657277,0.8676470588235294,0.8944723618090452,0.8033201010465536
137513,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),"VAREVOGNE (MAX. 3,5 t)",19,33,39,48,54,42,40,64,52,33,31,17,472,0.12837837837837837,0.19760479041916168,0.22807017543859648,0.2774566473988439,0.2608695652173913,0.22105263157894736,0.1951219512195122,0.2318840579710145,0.1543026706231454,0.07746478873239436,0.11397058823529412,0.08542713567839195,0.17033561891014073
137518,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),LASTBILER,4,1,4,0,1,2,3,3,1,1,0,0,20,0.02702702702702703,0.005988023952095809,0.023391812865497075,0.0,0.004830917874396135,0.010526315789473684,0.014634146341463415,0.010869565217391304,0.002967359050445104,0.002347417840375587,0.0,0.0,0.007217610970768676
137519,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),BUSSER I FAST RUTE,4,4,4,4,4,4,4,4,4,4,4,4,48,0.02702702702702703,0.023952095808383235,0.023391812865497075,0.023121387283236993,0.01932367149758454,0.021052631578947368,0.01951219512195122,0.014492753623188406,0.011869436201780416,0.009389671361502348,0.014705882352941176,0.020100502512562814,0.01732226632984482
137520,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),ANDRE BUSSER,0,1,0,1,0,1,1,0,0,0,1,0,5,0.0,0.005988023952095809,0.0,0.005780346820809248,0.0,0.005263157894736842,0.004878048780487805,0.0,0.0,0.0,0.003676470588235294,0.0,0.001804402742692169
137522,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),A+B: KØRETØJER I ALT,148,167,171,173,207,190,205,276,337,426,272,199,2771,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137523,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),LADCYKLER,2,9,1,0,2,0,1,4,23,13,4,1,60,0.01015228426395939,0.038135593220338986,0.0072992700729927005,0.0,0.014814814814814815,0.0,0.008403361344537815,0.018018018018018018,0.04842105263157895,0.016518424396442185,0.006734006734006734,0.003401360544217687,0.017396346767178893
137524,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),CYKLER + KNALLERTER,195,227,136,96,133,157,118,218,452,774,590,293,3389,0.9898477157360406,0.961864406779661,0.9927007299270073,1.0,0.9851851851851852,1.0,0.9915966386554622,0.9819819819819819,0.9515789473684211,0.9834815756035579,0.9932659932659933,0.9965986394557823,0.9826036532328211
137525,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),CYKLER + KNALLERTER I ALT,197,236,137,96,135,157,119,222,475,787,594,294,3449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133984,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD VEST (MOD FREDERIKSBERG),PERSONBILER + MC,102,116,93,93,99,120,129,174,223,273,206,146,1774,0.7906976744186046,0.7733333333333333,0.6940298507462687,0.7099236641221374,0.6513157894736842,0.7228915662650602,0.7914110429447853,0.7802690582959642,0.8198529411764706,0.8921568627450981,0.8995633187772926,0.8848484848484849,0.7990990990990992
