TS,VEJNAVN,BESKRIVELSE,HUSNUMMER,ÅR,DATO,KATEGORI,TÆLLESTEDSTYPE,ANTAL 6-7,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,X-KOORDINAT,Y-KOORDINAT,MOTERTRAFIK I ALT ÅDT,MOTERTRAFIK I ALT HDT,CYKLER I ALT ÅDT,CYKLER I ALT HDT,FODGÆNGERE I ALT ÅDT,FODGÆNGERE I ALT HDT
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,CYKLER I ALT,ANDRE FASTE TÆLLINGER,742.0,938.0,773.0,324.0,333.0,359.0,371.0,432.0,530.0,670.0,1514.0,699.0,424.0,8109.0,12.565491397230993,55.677960848602766,0,0,8400,9900,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1970,1970-06-18,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2357.0,2858.0,2951.0,2312.0,2162.0,2167.0,2026.0,2302.0,2282.0,2813.0,3829.0,2880.0,2411.0,33350.0,12.565491397230993,55.677960848602766,39000,43700,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,CYKLER I ALT,ANDRE FASTE TÆLLINGER,605.0,848.0,704.0,297.0,317.0,256.0,334.0,346.0,507.0,624.0,1345.0,487.0,367.0,7037.0,12.565491397230993,55.677960848602766,0,0,7200,8600,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1971,1971-09-14,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2405.0,2962.0,3211.0,2451.0,2412.0,2192.0,2054.0,2294.0,2534.0,2996.0,4122.0,2680.0,2614.0,34927.0,12.565491397230993,55.677960848602766,40900,45800,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,CYKLER I ALT,ANDRE FASTE TÆLLINGER,466.0,566.0,420.0,200.0,158.0,169.0,214.0,181.0,242.0,373.0,781.0,326.0,178.0,4274.0,12.565491397230993,55.677960848602766,0,0,4400,5200,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-04-18,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2167.0,3157.0,3266.0,2292.0,2126.0,1937.0,2135.0,2219.0,2487.0,3051.0,4229.0,2565.0,2272.0,33903.0,12.565491397230993,55.677960848602766,39700,44400,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-06-13,CYKLER I ALT,ANDRE FASTE TÆLLINGER,368.0,427.0,378.0,169.0,127.0,131.0,175.0,242.0,265.0,413.0,867.0,339.0,259.0,4160.0,12.565491397230993,55.677960848602766,0,0,4300,5100,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-06-13,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2263.0,3279.0,3280.0,2360.0,2451.0,2306.0,2434.0,2534.0,2584.0,2934.0,4266.0,2757.0,2446.0,35894.0,12.565491397230993,55.677960848602766,42000,47000,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-12-19,CYKLER I ALT,ANDRE FASTE TÆLLINGER,292.0,409.0,327.0,151.0,146.0,111.0,146.0,163.0,200.0,337.0,670.0,238.0,181.0,3371.0,12.565491397230993,55.677960848602766,0,0,3500,4100,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1972,1972-12-19,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2237.0,3179.0,3408.0,2552.0,2466.0,2379.0,2434.0,2467.0,2765.0,3513.0,4312.0,2762.0,2350.0,36824.0,12.565491397230993,55.677960848602766,43100,48200,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-04-26,CYKLER I ALT,ANDRE FASTE TÆLLINGER,428.0,486.0,442.0,192.0,169.0,178.0,175.0,192.0,275.0,503.0,685.0,362.0,198.0,4285.0,12.565491397230993,55.677960848602766,0,0,4400,5200,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-04-26,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2373.0,3100.0,3431.0,2433.0,2485.0,2292.0,2269.0,2290.0,2472.0,3250.0,4139.0,2985.0,2442.0,35961.0,12.565491397230993,55.677960848602766,42100,47100,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-09-27,CYKLER I ALT,ANDRE FASTE TÆLLINGER,497.0,532.0,585.0,252.0,201.0,207.0,244.0,284.0,378.0,645.0,766.0,482.0,233.0,5306.0,12.565491397230993,55.677960848602766,0,0,5500,6500,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1973,1973-09-27,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2471.0,3399.0,3552.0,2573.0,2165.0,2206.0,2240.0,2514.0,2811.0,3493.0,4244.0,3145.0,2429.0,37242.0,12.565491397230993,55.677960848602766,43600,48800,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1974,1974-09-17,CYKLER I ALT,ANDRE FASTE TÆLLINGER,525.0,810.0,675.0,366.0,281.0,259.0,318.0,358.0,495.0,652.0,1298.0,552.0,280.0,6869.0,12.565491397230993,55.677960848602766,0,0,7100,8400,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1974,1974-09-17,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2427.0,3444.0,3549.0,2817.0,2310.0,2366.0,2364.0,2534.0,2775.0,3535.0,4535.0,2712.0,2372.0,37740.0,12.565491397230993,55.677960848602766,44200,49400,0,0,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1975,1975-06-17,CYKLER I ALT,ANDRE FASTE TÆLLINGER,711.0,1075.0,948.0,421.0,412.0,414.0,575.0,667.0,690.0,1082.0,1403.0,628.0,586.0,9612.0,12.565491397230993,55.677960848602766,0,0,9900,11700,0,0
1.0,H.C. ANDERSEN BOULEVARD,sø.f. Jarmers Plads,,1975,1975-06-17,MOTERTRAFIK I ALT,ANDRE FASTE TÆLLINGER,2446.0,3826.0,4223.0,2737.0,2527.0,2556.0,2594.0,2733.0,2894.0,3766.0,4422.0,2916.0,2441.0,40081.0,12.565491397230993,55.677960848602766,46900,52500,0,0,0,0
