række,database_id,TS,VEJNAVN,ÅR,DATO,RETNING,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,SUM ANTAL,ANTAL 7-8_PERCENT,ANTAL 8-9_PERCENT,ANTAL 9-10_PERCENT,ANTAL 10-11_PERCENT,ANTAL 11-12_PERCENT,ANTAL 12-13_PERCENT,ANTAL 13-14_PERCENT,ANTAL 14-15_PERCENT,ANTAL 15-16_PERCENT,ANTAL 16-17_PERCENT,ANTAL 17-18_PERCENT,ANTAL 18-19_PERCENT,SUM ANTAL_PERCENT
137515,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),A: LET TRAFIK I ALT,140,161,163,168,202,183,197,269,332,421,267,195,2698,0.9459459459459459,0.9640718562874252,0.9532163742690059,0.9710982658959537,0.9758454106280193,0.9631578947368421,0.9609756097560975,0.9746376811594203,0.9851632047477745,0.9882629107981221,0.9816176470588235,0.9798994974874372,0.9736557199566943
137521,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),B: TUNG TRAFIK I ALT,8,6,8,5,5,7,8,7,5,5,5,4,73,0.05405405405405406,0.03592814371257485,0.04678362573099415,0.028901734104046242,0.024154589371980676,0.03684210526315789,0.03902439024390244,0.025362318840579712,0.01483679525222552,0.011737089201877934,0.01838235294117647,0.020100502512562814,0.026344280043305666
137522,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),A+B: KØRETØJER I ALT,148,167,171,173,207,190,205,276,337,426,272,199,2771,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137525,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD VEST (FREDERIKSBERG),CYKLER + KNALLERTER I ALT,197,236,137,96,135,157,119,222,475,787,594,294,3449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133987,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD VEST (MOD FREDERIKSBERG),A: LET TRAFIK I ALT,123,145,128,123,145,156,156,214,267,302,223,159,2141,0.9534883720930233,0.9666666666666667,0.9552238805970149,0.9389312977099237,0.9539473684210527,0.9397590361445783,0.9570552147239264,0.9596412556053812,0.9816176470588235,0.9869281045751634,0.9737991266375546,0.9636363636363636,0.9644144144144144
133993,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD VEST (MOD FREDERIKSBERG),B: TUNG TRAFIK I ALT,6,5,6,8,7,10,7,9,5,4,6,6,79,0.046511627906976744,0.03333333333333333,0.04477611940298507,0.061068702290076333,0.046052631578947366,0.060240963855421686,0.04294478527607362,0.04035874439461883,0.01838235294117647,0.013071895424836602,0.026200873362445413,0.03636363636363636,0.03558558558558558
133994,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD VEST (MOD FREDERIKSBERG),A+B: KØRETØJER I ALT,129,150,134,131,152,166,163,223,272,306,229,165,2220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133997,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD VEST (MOD FREDERIKSBERG),CYKLER + KNALLERTER I ALT,198,209,151,101,125,169,192,304,555,828,617,327,3776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134001,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD ØST (MOD VESTERPORT),A: LET TRAFIK I ALT,266,437,173,153,144,146,150,199,181,189,155,136,2329,0.9779411764705882,0.9820224719101124,0.9505494505494505,0.9622641509433962,0.9536423841059603,0.9605263157894737,0.9493670886075949,0.9802955665024631,0.9679144385026738,0.9792746113989638,0.9748427672955975,0.9714285714285714,0.9700124947938359
134007,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD ØST (MOD VESTERPORT),B: TUNG TRAFIK I ALT,6,8,9,6,7,6,8,4,6,4,4,4,72,0.022058823529411766,0.017977528089887642,0.04945054945054945,0.03773584905660377,0.046357615894039736,0.039473684210526314,0.05063291139240506,0.019704433497536946,0.03208556149732621,0.02072538860103627,0.025157232704402517,0.02857142857142857,0.029987505206164097
134008,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD ØST (MOD VESTERPORT),A+B: KØRETØJER I ALT,272,445,182,159,151,152,158,203,187,193,159,140,2401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134011,5605,6,KAMPMANNSGADE ud for søerne ,2014,09/18/2014,MOD ØST (MOD VESTERPORT),CYKLER + KNALLERTER I ALT,545,1263,441,196,207,206,149,221,251,328,304,208,4319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137529,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD ØST (VESTERPORT),A: LET TRAFIK I ALT,309,577,288,206,150,188,148,200,216,215,200,164,2861,0.9778481012658228,0.9897084048027445,0.9664429530201343,0.9671361502347418,0.9615384615384616,0.9591836734693877,0.9487179487179487,0.975609756097561,0.9773755656108597,0.9817351598173516,0.9803921568627451,0.9761904761904762,0.9747870528109029
137535,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD ØST (VESTERPORT),B: TUNG TRAFIK I ALT,7,6,10,7,6,8,8,5,5,4,4,4,74,0.022151898734177215,0.010291595197255575,0.03355704697986577,0.03286384976525822,0.038461538461538464,0.04081632653061224,0.05128205128205128,0.024390243902439025,0.02262443438914027,0.0182648401826484,0.0196078431372549,0.023809523809523808,0.025212947189097105
137536,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD ØST (VESTERPORT),A+B: KØRETØJER I ALT,316,583,298,213,156,196,156,205,221,219,204,168,2935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
137539,5749,6,KAMPMANNSGADE ud for søerne ,2015,09/22/2015,MOD ØST (VESTERPORT),CYKLER + KNALLERTER I ALT,552,1170,402,200,167,155,103,174,223,332,230,173,3881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151939,6330,6,KAMPMANNSGADE ud for søerne,2020,09/02/2020,Mod vest (Frederiksberg),A: LET TRAFIK I ALT,112,133,109,116,133,103,132,164,205,274,195,102,1778,0.9739130434782609,0.9708029197080292,0.9819819819819819,0.9586776859504132,0.9779411764705882,0.944954128440367,0.9777777777777777,0.9820359281437125,0.9903381642512077,0.9891696750902527,0.9898477157360406,0.9444444444444444,0.9769230769230769
