Dataejer,X-koordinat,Y-koordinat,Bestyrer,Adm.vejnr,Vejdel,Kilometer,Meter,Lokalitet,Vejnavn,Køretøjsart,År,StedId,Talte dage,ÅDT,HDT,JDT,HDT,Gennemsnitshastighed,Æ10 Høj,Æ10 Lav,Lastbil ÅDT,o. 1250 ÅDT,Lastbil %,15% hast.-fraktil,85% hast.-fraktil,% over hastighedsgr.,% o. hastgr + 10km/t,% o. hastgr + 20km/t,Hastighedsgrænse,Største time,Største time datotid,Morgen spids time,Morgen spids st. tid,Efterm. spids time,Efterm. spids st. t.
0,722345,6177304,0,13,0,1,987,NV for kryds v. Kr.pr. Sofies Vej,Hillerødmotorvejen,MOTORKTJ,2011,M13-KS,",2",20493,22770,17291,22770,,375,167,476,40,"2,3",,,,,,60,2.596,13.04.2011 07:15,,:,,:
0,722316,6177330,0,13,0,2,26,NV for kryds v. Borups Plads (sydg),Hillerødmotorvejen,MOTORKTJ,2011,M13-BP,",3",1258,1512,1064,1512,,7,3,11,1,",8",,,,,,60,196,13.04.2011 08:00,,:,,:
0,722316,6177331,0,13,0,2,27,NV for kryds v. Borups Plads (nordg),Hillerødmotorvejen,MOTORKTJ,2011,M13-BP,",2",42412,47650,35857,47650,,836,368,1112,96,"2,6",,,,,,60,,,,:,,:
0,722166,6177761,0,13,0,2,500,Bispeengbuen ved Nordre Fasanvej,Hillerødmotorvejen,MOTORKTJ,2015,13002500,8,35297,38845,29723,38845,"64,2",4921,2111,5156,1825,"14,6",49,"76,6","39,6",8,"1,6",70,3.498,27.10.2015 08:00,3349,07:20,3247,15:30
0,721704,6177909,0,13,0,3,0,"Bispeengbuen, manuel -- støjskærme",Hillerødmotorvejen,MOTORKTJ,2011,0101000,",5",41501,47616,34734,47616,,1050,424,1184,279,"2,9",,,,,,60,4.487,03.05.2011 16:00,,:,4487,16:00
0,721686,6177910,0,13,0,3,29,3/29,Hillerødmotorvejen,MOTORKTJ,2022,13317601,",3",41323,48954,33687,48954,,816,,665,192,"1,6",,,,,,60,4.397,01.06.2022 07:30,4397,07:30,,:
0,721633,6177920,0,13,0,3,72,"Krydstælling, Bispeengbuen, manuel",Hillerødmotorvejen,MOTORKTJ,1999,Mastra01455,",3",41589,,35524,,,1148,623,1381,,"3,3",,,,,,,,,,:,,:
0,721619,6177926,0,13,0,3,100,3/100,Hillerødmotorvejen,MOTORKTJ,2022,13317601,",3",45173,53515,36826,53515,,971,,800,201,"1,8",,,,,,50,4.858,01.06.2022 07:30,4858,07:30,,:
0,721584,6177948,0,13,0,3,129,Krydstælling (med Hillerødgade),København - Utterslev Mose,MOTORKTJ,1999,Mastra01456,",3",10769,,9199,,,280,156,390,,"3,6",,,,,,,,,,:,,:
0,721583,6177948,0,13,0,3,130,Krydstælling (med Hillerødgade),København - Utterslev Mose,MOTORKTJ,1999,Mastra01457,",3",15933,,13610,,,502,317,735,,"4,6",,,,,,,,,,:,,:
0,721579,6177952,0,13,0,3,147,3/147,Hillerødmotorvejen,MOTORKTJ,2022,13317600,",3",49259,58356,40157,58356,,1162,,961,209,2,,,,,,50,5.260,01.06.2022 07:30,5260,07:30,,:
0,721558,6177971,0,13,0,3,176,3/176,Hillerødmotorvejen,MOTORKTJ,2022,13317600,",3",45626,54051,37195,54051,,936,,753,181,"1,7",,,,,,50,4.887,01.06.2022 07:30,4887,07:30,,:
0,721428,6178131,0,13,0,3,385,SØ for Mågevej,Hillerødmotorvejen,MOTORKTJ,2024,M13-MAG,",2",36673,42549,29896,42549,,1189,,927,230,"2,5",,,,,,50,4.308,15.05.2024 16:00,,:,,:
0,721412,6178151,0,13,0,3,396,Krydstælling (med Mågevej),København - Utterslev Mose,MOTORKTJ,1999,Mastra01458,",3",38997,,33310,,,1131,712,1493,,"3,8",,,,,,,,,,:,,:
0,721411,6178151,0,13,0,3,397,Krydstælling (med Mågevej),København - Utterslev Mose,MOTORKTJ,1999,Mastra01459,",3",38977,,33293,,,1136,715,1496,,"3,8",,,,,,,,,,:,,:
0,721412,6178150,0,13,0,3,410,NV for Mågevej,Hillerødmotorvejen,MOTORKTJ,2024,M13-MAG,",2",35289,40944,28769,40944,,1176,,918,226,"2,6",,,,,,50,4.171,15.05.2024 16:00,,:,,:
0,721160,6178488,0,13,0,3,837,SØ for Hulgårdsvej,Hillerødmotorvejen,MOTORKTJ,2024,M13-HUL,",2",33695,39094,27468,39094,,1248,,968,236,"2,9",,,,,,50,4.012,15.05.2024 15:30,,:,,:
0,721140,6178518,0,13,0,3,858,Krydstælling (med Hulgårdsvej),København - Utterslev Mose,MOTORKTJ,2000,Mastra01460,",1",42410,,36161,,,837,542,1177,69,"2,8",,,,,,,5.212,06.04.2000 07:45,,:,,:
0,721137,6178523,0,13,0,3,865,ved Grøndalscentret,Hillerødmotorvejen,MOTORKTJ,1996,Mastra01100,",1",36288,37504,37422,37504,,1209,689,1394,,"3,8",,,,,,,,,,:,,:
0,721134,6178527,0,13,0,3,870,"Krydstælling, (med Hulgårdsvej), manuel",Hillerødmotorvejen,MOTORKTJ,2000,Mastra01461,",1",42733,,36435,,,930,526,1111,69,"2,6",,,,,,,5.112,06.04.2000 07:45,,:,,:
0,721125,6178540,0,13,0,3,900,NV for Hulgårdsvej,Hillerødmotorvejen,MOTORKTJ,2024,M13-HUL,",2",36668,42544,29893,42544,,1280,,998,234,"2,7",,,,,,50,4.494,15.05.2024 15:00,,:,,:
0,720893,6179020,0,13,0,4,425,"Kombisnit, slangetælling Frederikssundsvejntunnelen 2023",Hillerødmotorvejen,MOTORKTJ,2023,13000004,"11,5",31296,36569,25548,36569,"55,8",6613,,5211,2820,"16,7","42,4","66,7","43,7","6,7",",8",60,3.185,02.03.2023 14:30,3100,06:42,2703,14:27
0,720452,6179288,0,13,0,4,940,4/940,Hillerødmotorvejen,MOTORKTJ,2015,M13-MEL,",2",45440,52686,38189,52686,,957,432,1173,97,"2,6",,,,,,50,5.014,03.11.2015 15:45,,:,,:
0,720437,6179296,0,13,0,4,957,Krydstælling med mellemvangen,Hillerødmotorvejen,MOTORKTJ,2001,Mastra01566,",2",42100,,35896,,,939,493,1043,132,"2,5",,,,,,60,5.071,19.04.2001 07:30,,:,,:
0,720435,6179298,0,13,0,4,960,Krydstælling med mellemvangen,Hillerødmotorvejen,MOTORKTJ,2001,Mastra01565,",2",42335,,36096,,,947,496,1051,134,"2,5",,,,,,60,5.093,19.04.2001 07:30,,:,,:
0,720423,6179307,0,13,0,4,975,4/975,Hillerødmotorvejen,MOTORKTJ,2015,M13-MEL,",2",45742,53036,38443,53036,,962,434,1175,99,"2,6",,,,,,50,5.049,03.11.2015 15:45,,:,,:
0,720148,6179669,0,13,0,5,431,Flyt07 m432:Krydstælling Mosesvinget,Hillerødmotorvejen,MOTORKTJ,2001,Mastra01567,",2",46278,,39458,,,1044,573,1224,102,"2,6",,,,,,60,5.544,27.04.2001 07:45,,:,,:
0,720147,6179670,0,13,0,5,432,Krydstælling med mosesvinget,Hillerødmotorvejen,MOTORKTJ,2001,Mastra01568,",2",44508,,37949,,,1036,570,1215,101,"2,7",,,,,,60,5.343,27.04.2001 07:45,,:,,:
0,720103,6179735,0,13,0,5,510,nord for Mosesvinget ( mod Hillerød/Helsingør ),Hillerødmotorvejen,MOTORKTJ,2014,01305510,"7,9",43859,49532,36861,49532,"67,8",5300,2017,6685,1888,"15,2","39,3","84,4","74,1","52,2","23,9",60,4.405,21.11.2014 15:00,4133,07:12,4246,15:10
0,720103,6179736,0,13,0,5,511,nord for Mosesvinget (retning mod Kbh. ),Hillerødmotorvejen,MOTORKTJ,2014,01305511,"7,9",43859,49532,36861,49532,"67,8",5300,2017,6685,1888,"15,2","39,3","84,4","74,1","52,2","23,9",60,4.405,21.11.2014 15:00,4133,07:12,4246,15:10
0,723600,6179884,0,14,0,42,145,42/145,Helsingørmotorvejen,MOTORKTJ,2004,M14-HKP,",2",62052,66783,62692,66783,,1744,910,1845,275,3,,,,,,60,6.383,25.05.2004 16:00,,:,,:
0,723600,6179883,0,14,0,42,146,ved Hans Knudsens Plads,Helsingørmotorvejen,MOTORKTJ,1996,Mastra01101,",1",46597,,48084,,,1561,891,1762,,"3,8",,,,,,,,,,:,,:
0,722361,6177322,0,1010764,300,0,159,0/159,1010764-300,MOTORKTJ,2022,13317602,",3",5954,7054,4854,7054,,86,,84,20,"1,4",,,,,,,746,01.06.2022 15:00,613,07:45,,:
101,722664,6177381,0,1012788,0,0,0,ud for nr 17,Hellebækgade,MOTORKTJ,2014,10127880,2,203,223,189,223,"25,2",1,1,4,0,2,17,"33,8","25,4","2,5",",2",30,35,19.02.2014 17:00,20,07:30,32,16:30
0,721598,6177965,0,1012888,800,0,750,0/750,1012888-800,MOTORKTJ,2022,13317600,",3",9090,10769,7411,10769,,186,,173,48,"1,9",,,,,,,948,01.06.2022 06:45,948,06:45,,:
0,721549,6177957,0,1012888,800,0,800,0/800,1012888-800,MOTORKTJ,2022,13317600,",3",13777,16322,11232,16322,,418,,393,76,"2,9",,,,,,,1.477,01.06.2022 15:00,1451,07:15,,:
0,721112,6178477,0,1013072,0,0,718,0/980,Hulgårdsvej,MOTORKTJ,2024,M13-HUL,",2",13854,16074,11294,16074,,410,,372,52,"2,7",,,,,,,1.738,15.05.2024 15:00,,:,,:
0,721174,6178600,0,1013072,000,1,95,1/40,Hulgårdsvej,MOTORKTJ,2024,M13-HUL,",2",10581,12277,8626,12277,,384,,348,60,"3,3",,,,,,,1.211,15.05.2024 15:00,,:,,:
0,722598,6177024,0,1013332,000,0,10,0/10,Jagtvej,MOTORKTJ,2022,13317603,",3",11545,13677,9412,13677,,374,,351,34,3,,,,,,,1.195,01.06.2022 15:00,1174,07:30,,:
0,721405,6178137,0,1014920,0,0,230,0/230,Mågevej,MOTORKTJ,2024,M13-MAG,",2",2605,3022,2124,3022,,14,,21,2,",8",,,,,,,334,15.05.2024 15:00,,:,,:
0,721420,6178163,0,1014920,0,0,260,0/260,Mågevej,MOTORKTJ,2024,M13-MAG,",2",4569,5301,3724,5301,,27,,30,6,",7",,,,,,,618,15.05.2024 07:30,,:,,:
0,722602,6177007,0,1018648,000,0,300,0/300,Ågade,MOTORKTJ,2022,13317603,",3",42503,50352,34650,50352,,906,,739,206,"1,7",,,,,,,4.523,01.06.2022 15:00,4277,07:15,,:
0,722579,6177031,0,1018648,000,0,333,0/333,Ågade,MOTORKTJ,2022,13317603,",3",42502,50350,34648,50350,,814,,656,198,"1,5",,,,,,,4.450,01.06.2022 15:00,4300,07:15,,:
0,722349,6177301,0,1018648,000,0,690,0/690,Ågade,MOTORKTJ,2022,13317602,",3",43163,51134,35187,51134,,824,,696,174,"1,6",,,,,,,4.539,01.06.2022 15:00,4462,07:30,,:
0,722329,6177339,0,1018648,000,0,734,0/734,Ågade,MOTORKTJ,2022,13317602,",3",1154,1367,941,1367,,88,,77,0,"6,7",,,,,,,142,01.06.2022 17:00,127,08:15,,:
0,721711,6177815,0,1470094,0,0,600,0/600,Borups Allé,MOTORKTJ,2022,13317601,",3",4075,4828,3322,4828,,155,,135,9,"3,3",,,,,,,479,01.06.2022 07:30,479,07:30,,:
0,722160,6176122,0,1470220,0,0,189,0/189,Falkoner Allé,MOTORKTJ,2022,13317603,",3",11367,13467,9267,13467,,293,,278,28,"2,4",,,,,,,1.196,01.06.2022 15:00,1182,07:45,,:
101,723802,6179182,101,1010080,0,0,0,Ud for nr 8B,Aldersrogade,MOTORKTJ,2011,10100801,"7,9",1156,1320,1072,1320,"34,1",17,9,54,2,"4,7","23,7","43,2","2,4",",1",0,50,153,22.08.2011 08:00,133,08:10,122,15:30
101,723766,6177859,101,1010086,0,0,0,Ved port,Alléen,MOTORKTJ,2019,10100860,8,355,437,291,437,"24,1",6,3,10,1,"2,8","19,8","28,3",",1",0,0,50,60,06.02.2019 13:45,39,08:05,46,14:15
0,724035,6176187,101,1010148,0,0,0,HC Andersens Blvd. ud for Tivoli,H C Andersens Boulevard,MOTORKTJ,2007,10101481,41,56883,62705,48829,62705,,,,,,,,,,,,,5.024,15.01.2007 08:00,4753,08:00,4725,15:20
0,724036,6176186,101,1010148,0,0,1,mellem Rådhuspladsen og Stormgade,H C Andersens Boulevard,MOTORKTJ,1998,Mastra01067,",3",50463,60835,43104,60835,,1169,841,1886,,"3,7",,,,,,,,,,:,,:
0,724036,6176185,101,1010148,0,0,2,ved Hovedbrandstationen - strejke,H C Andersens Boulevard,MOTORKTJ,1998,Mastra01357,",1",45093,51681,38447,51681,,436,336,782,,"1,7",,,,,,,,,,:,,:
0,724135,6176048,101,1010148,0,0,170,SØ for Jarmers Plads,H C Andersens Boulevard,MOTORKTJ,2014,1-HCA,",5",44064,50553,37107,50553,,1063,608,1380,399,"3,1",,,,,,50,4.250,18.09.2014 07:00,,:,4235,15:00
101,719660,6176906,101,1010196,0,0,390,"Ud for nr. 29, lige vest for Jupitervej",Apollovej,MOTORKTJ,2019,01960390,"7,9",3488,4026,2850,4026,38,209,111,423,10,"12,1","29,6","46,3","5,8",",7",",1",50,440,04.11.2019 07:15,412,07:21,386,15:40
101,723572,6178162,101,1010228,0,0,0,Ud for nr 7,Arresøgade,MOTORKTJ,2011,10102282,"6,9",539,569,500,569,"37,6",4,2,8,1,"1,5","21,4","53,2","15,7","13,9","10,5",50,64,23.08.2011 07:00,43,07:30,39,16:24
101,723556,6178144,101,1010228,000,0,24,Ud for nr. 1,Arresøgade,MOTORKTJ,2019,10012911,8,671,755,550,755,"11,7",8,4,15,0,"2,3",8,"14,6",0,0,0,50,94,14.01.2019 08:30,73,08:05,74,15:52
101,723869,6176929,101,1010312,0,0,0,Ud for nr. 7,Baggesensgade,MOTORKTJ,2011,10103121,8,1559,1696,1445,1696,"27,2",32,17,87,9,"5,6","20,6","33,9",",1",0,0,50,172,24.08.2011 15:00,125,08:00,152,15:10
101,723779,6176974,101,1010312,0,0,100,Ved nr. 7,Baggesensgade,MOTORKTJ,2017,01010312,"8,4",1844,1984,1514,1984,"27,3",82,43,173,10,"9,4","16,3","37,5","12,7","6,3","3,4",40,241,29.06.2017 17:45,172,08:30,181,15:17
101,723588,6177080,101,1010312,0,0,320,ved nr. 31,Baggesensgade,MOTORKTJ,2016,03210312,"17,8",2297,2498,1934,2498,"22,8",111,58,183,19,8,,,"1,7",",2",0,40,224,29.10.2016 17:15,162,07:43,192,15:41
101,719952,6176912,101,1010380,000,0,26,Ud for nr. 1,Bangsbovej,MOTORKTJ,2021,20112107,"7,9",141,160,115,160,"16,2",1,0,1,0,",9","11,4","20,2",",3",",2",",2",30,36,24.11.2021 15:15,18,07:30,22,15:45
