række,database_id,TS,VEJNAVN,ÅR,DATO,RETNING,KATEGORI,ANTAL 6-7,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19
23572.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),PERSONBILER,,69.00,175.00,71.00,43.00,53.00,76.00,58.00,84.00,159.00,171.00,95.00,74.00
23573.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),MOTORCYKLER,,0.00,3.00,2.00,2.00,3.00,0.00,0.00,1.00,6.00,1.00,2.00,2.00
23574.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),"VAREVOGNE (MAX. 3,5 T)",,27.00,33.00,35.00,31.00,31.00,34.00,36.00,47.00,34.00,24.00,12.00,14.00
23575.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),A: LET TRAFIK I ALT,,96.00,211.00,108.00,76.00,87.00,110.00,94.00,132.00,199.00,196.00,109.00,90.00
23576.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),"SOLOLASTBILER, 2 AKSLER",,2.00,3.00,3.00,6.00,5.00,2.00,2.00,3.00,3.00,4.00,0.00,1.00
23577.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),"SOLOLASTBILER, 3 AKSLER",,2.00,1.00,2.00,2.00,1.00,0.00,0.00,1.00,1.00,3.00,0.00,0.00
23578.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),KØRETØJER 4 - FLERE AKSLER,,1.00,0.00,1.00,2.00,0.00,1.00,4.00,5.00,1.00,1.00,0.00,0.00
23579.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),BUSSER I FAST RUTE,,16.00,19.00,11.00,9.00,9.00,9.00,9.00,15.00,21.00,18.00,18.00,8.00
23580.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),ANDRE BUSSER,,3.00,2.00,1.00,0.00,0.00,0.00,1.00,5.00,3.00,2.00,1.00,0.00
23581.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),B: TUNG TRAFIK I ALT,,24.00,25.00,18.00,19.00,15.00,12.00,16.00,29.00,29.00,28.00,19.00,9.00
23582.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),A+B: KØRETØJER I ALT,,120.00,236.00,126.00,95.00,102.00,122.00,110.00,161.00,228.00,224.00,128.00,99.00
23583.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),LADCYKLER,,0.00,5.00,0.00,0.00,0.00,0.00,1.00,3.00,3.00,1.00,3.00,0.00
23584.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),CYKLER + KNALLERTER,,431.00,437.00,139.00,88.00,76.00,107.00,105.00,141.00,266.00,428.00,333.00,175.00
23585.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),CYKLER + KNALLERTER + LADCYKLER,,431.00,442.00,139.00,88.00,76.00,107.00,106.00,144.00,269.00,429.00,336.00,175.00
23586.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),PERSONBILER,,243.00,574.00,119.00,61.00,72.00,68.00,65.00,90.00,124.00,129.00,115.00,78.00
23587.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),MOTORCYKLER,,1.00,17.00,2.00,2.00,0.00,2.00,2.00,2.00,3.00,4.00,0.00,3.00
23588.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),"VAREVOGNE (MAX. 3,5 T)",,42.00,60.00,41.00,26.00,38.00,38.00,19.00,23.00,27.00,16.00,10.00,12.00
23589.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),A: LET TRAFIK I ALT,,286.00,651.00,162.00,89.00,110.00,108.00,86.00,115.00,154.00,149.00,125.00,93.00
23590.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),"LASTBILER, 2 AKSLER",,3.00,2.00,3.00,1.00,1.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00
23591.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),"LASTBILER, 3 AKSLER",,2.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
23592.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),LASTBILER 4 - FLERE AKSLER,,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
23593.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),BUSSER I FAST RUTE,,17.00,21.00,12.00,9.00,7.00,9.00,9.00,11.00,18.00,17.00,15.00,9.00
23594.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),ANDRE BUSSER,,5.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,0.00
23595.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),B: TUNG TRAFIK I ALT,,27.00,26.00,19.00,11.00,9.00,10.00,10.00,14.00,24.00,21.00,15.00,9.00
23596.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),A+B: KØRETØJER I ALT,,313.00,677.00,181.00,100.00,119.00,118.00,96.00,129.00,178.00,170.00,140.00,102.00
23597.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),LADCYKLER,,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
23598.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),CYKLER + KNALLERTER,,417.00,545.00,191.00,105.00,71.00,110.00,103.00,157.00,305.00,270.00,294.00,174.00
23599.00,934.00,31.00,LYNGBYVEJEN lokaltrafik nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),CYKLER + KNALLERTER + LADCYKLER,,419.00,547.00,191.00,105.00,71.00,110.00,104.00,157.00,305.00,270.00,294.00,174.00
23600.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),PERSONBILER,,1722.00,2055.00,1192.00,1052.00,1157.00,1304.00,1235.00,1764.00,2548.00,3264.00,3217.00,2157.00
23601.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),MOTORCYKLER,,20.00,16.00,12.00,5.00,3.00,5.00,6.00,20.00,25.00,31.00,40.00,18.00
23602.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),"VAREVOGNE (MAX. 3,5 T)",,298.00,271.00,270.00,361.00,350.00,346.00,305.00,463.00,417.00,101.00,124.00,110.00
23603.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),A: LET TRAFIK I ALT,,2040.00,2342.00,1474.00,1418.00,1510.00,1655.00,1546.00,2247.00,2990.00,3396.00,3381.00,2285.00
23604.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),"SOLOLASTBILER, 2 AKSLER",,12.00,6.00,19.00,18.00,35.00,32.00,19.00,13.00,9.00,17.00,12.00,7.00
23605.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),"SOLOLASTBILER, 3 AKSLER",,14.00,5.00,9.00,10.00,7.00,11.00,7.00,12.00,8.00,10.00,5.00,2.00
23606.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),KØRETØJER 4 - FLERE AKSLER,,11.00,10.00,16.00,29.00,32.00,23.00,20.00,17.00,14.00,7.00,6.00,2.00
23607.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),BUSSER I FAST RUTE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23608.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),ANDRE BUSSER,,4.00,26.00,5.00,4.00,0.00,3.00,18.00,20.00,12.00,14.00,5.00,8.00
23609.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),B: TUNG TRAFIK I ALT,,41.00,47.00,49.00,61.00,74.00,69.00,64.00,62.00,43.00,48.00,28.00,19.00
23610.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),A+B: KØRETØJER I ALT,,2081.00,2389.00,1523.00,1479.00,1584.00,1724.00,1610.00,2309.00,3033.00,3444.00,3409.00,2304.00
23611.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),LADCYKLER,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23612.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),CYKLER + KNALLERTER,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23613.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD NORD (FRA BYEN),CYKLER + KNALLERTER + LADCYKLER,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23614.00,935.00,31.00,LYNGBYVEJEN (motor) nord for Emdrupvej,2011,413,MOD SYD (MOD BYEN),PERSONBILER,,2389.00,2534.00,1957.00,1354.00,885.00,1102.00,1226.00,1407.00,1789.00,2416.00,2107.00,1580.00
