FID,t_nr,vejnavn,beskrivelse,husnummer,taellested_type,kode_type,spolestation_type,ogc_fid,wkb_geometry
taellestationer.1,1,H.C. ANDERSENS BOULEVARD,sydøst for Jarmers Plads,4,Andre faste tællinger,3.0,,1,POINT (12.565491397230991 55.677960848602766)
taellestationer.2,3,BREDGADE,nord for Kongens Nytorv,4,Andre faste tællinger,3.0,,2,POINT (12.587600106423729 55.681163602385205)
taellestationer.3,4,CHRISTIAN D. IV'S BRO,syd for Niels Juels Gade,,Andre faste tællinger,3.0,,3,POINT (12.587194935687066 55.67556235261653)
taellestationer.4,5,DRONNING LOUISES BRO,øst for Nørrebrogade,,Søsnittet,2.0,,4,POINT (12.563772380225611 55.686726138477155)
taellestationer.5,6,KAMPMANNSGADE,ud for søerne,,Søsnittet,2.0,,5,POINT (12.557875203105125 55.677961651406)
taellestationer.6,7,ELLEBJERGVEJ,øst for Poppelstykket,138,Andre faste tællinger,3.0,Spolestation,6,POINT (12.510990440718215 55.650502831976276)
taellestationer.7,8,ENGLANDSVEJ,nord for Følfodvej,229,Kommunegrænsen,1.0,Spolestation,7,POINT (12.59984563626354 55.63848509063262)
taellestationer.8,9,FARVERGADE,nordøst for Rådhuspladsen,6,Andre faste tællinger,3.0,,8,POINT (12.572626735624134 55.6759965258084)
taellestationer.9,11,FREDERIKSBORGGADE,øst for Nørre Voldgade,10,Andre faste tællinger,3.0,,9,POINT (12.572966838603646 55.68308816561314)
taellestationer.10,12,FREDERIKSBORGGADE,sydøst for Søtorvet,50,Andre faste tællinger,3.0,,10,POINT (12.566369474794927 55.685708418286204)
taellestationer.11,13,FREDERIKSBORGVEJ,syd for Gladsaxevej,221,Kommunegrænsen,1.0,,11,POINT (12.525153439020631 55.72710588532446)
taellestationer.12,14,FREDERIKSSUNDSVEJ,vest for Mørkhøjvej,355A,Kommunegrænsen,1.0,,12,POINT (12.467797647002806 55.71312181110101)
taellestationer.13,16,GL. KØGE LANDEVEJ,syd for Vigerslevvej,220A,Kommunegrænsen,1.0,,13,POINT (12.501326512367644 55.64253657237924)
taellestationer.14,17,GOTHERSGADE,sydøst for Søtorvet,160 eller 175,Andre faste tællinger,3.0,,14,POINT (12.566545050457883 55.68641228608008)
taellestationer.15,18,GRØNDALS PARKVEJ,nord for Peter Bangs Vej,,Andre faste tællinger,3.0,,15,POINT (12.487389543509753 55.67777162433822)
taellestationer.16,19,GYLDENLØVESGADE,ud for Søpavillonen,24,Søsnittet,2.0,,16,POINT (12.558879052393788 55.68162962198664)
taellestationer.17,20,HARESKOVVEJ,nordvest for Mosesvinget (Hillerødmotorvejen),,Kommunegrænsen,1.0,,17,POINT (12.50390557494531 55.71341711589515)
taellestationer.18,21,HILLERØDGADE,vest for Borups Allé,112,Andre faste tællinger,3.0,,18,POINT (12.524881062593547 55.69669617851435)
taellestationer.19,23,JAGTVEJ,syd for Nørrebrogade,69,Andre faste tællinger,3.0,Spolestation,19,POINT (12.548166594681598 55.69376045384262)
taellestationer.20,24,JYLLINGEVEJ,vest for Tudskærvej,125,Kommunegrænsen,1.0,,20,POINT (12.467325933905835 55.691539476489886)
taellestationer.21,25,KALVEBOD BRYGGE,sydvest for Bernstorffgade,24,Søsnittet,2.0,,21,POINT (12.571198004769101 55.66775457511373)
taellestationer.22,26,KNIPPELSBRO,nord for Torvegade,,Søsnittet,2.0,,22,POINT (12.586998878059134 55.67489294070495)
taellestationer.23,27,KRISTEN BERNIKOWS GADE,nordvest for Østergade,2,Andre faste tællinger,3.0,,23,POINT (12.582295655249021 55.67998567768589)
taellestationer.24,29,LANGEBRO,vest for Amager Boulevard,,Søsnittet,2.0,,24,POINT (12.578765785919437 55.67031384691938)
taellestationer.25,31,LYNGBYVEJ,Motorvejen,144,Kommunegrænsen,1.0,,25,POINT (12.556679854965623 55.71896950142807)
taellestationer.26,32,NØRRE ALLÉ,syd for Universitetsparken,63,Andre faste tællinger,3.0,,26,POINT (12.562227745479044 55.7019629765)
taellestationer.27,33,NØRREGADE,sydøst for Nørre Voldgade,49,Andre faste tællinger,3.0,,27,POINT (12.570985593756626 55.68210595859012)
taellestationer.28,34,NØRRE VOLDGADE,nordøst for Jarmers Plads,6,Andre faste tællinger,3.0,,28,POINT (12.566473004136622 55.67933661489678)
taellestationer.29,36,ROSKILDEVEJ,ud for Damhussøen,213,Kommunegrænsen,1.0,Spolestation,29,POINT (12.476224094045238 55.67272468616922)
taellestationer.30,37,SJÆLLANDSBROEN,øst for Sluseholmen,,Andre faste tællinger,3.0,,30,POINT (12.55037701730951 55.64161980604731)
taellestationer.31,40,SLOTSHERRENSVEJ,ved Islev St.,139,Kommunegrænsen,1.0,,31,POINT (12.468136254513853 55.699934127007594)
taellestationer.32,41,ST. KONGENSGADE,nord for Kongens Nytorv,24,Andre faste tællinger,3.0,,32,POINT (12.58588760494014 55.68215429852454)
taellestationer.33,42,STRANDBOULEVARDEN,nord for Classensgade,13 eller 32,Søsnittet,2.0,,33,POINT (12.59041180278704 55.69918161400115)
taellestationer.34,43,STRANDVEJEN,nord for Dessaus Bouilevard,115,Kommunegrænsen,1.0,,34,POINT (12.577449894629323 55.72376879642319)
taellestationer.35,44,SØLVGADE,nordvest for Øster Farimagsgade,87,Andre faste tællinger,3.0,,35,POINT (12.573718038146385 55.68972460805692)
taellestationer.36,45,SØNDERKÆR,syd for Holbækmotorvejen,,Kommunegrænsen,1.0,,36,POINT (12.486583222113214 55.652261248901624)
taellestationer.37,46,TAGENSVEJ,sydøst for Tuborgvej,223,Andre faste tællinger,3.0,,37,POINT (12.535592125639816 55.7129139148999)
taellestationer.38,48,TUBORGVEJ,nord for Bispebjerg Parkallé,175,Andre faste tællinger,3.0,Spolestation,38,POINT (12.54135327458717 55.71952559110471)
taellestationer.39,49,TUBORGVEJ,sydvest for Lundedalsvej,157,Kommunegrænsen,1.0,,39,POINT (12.545781356308604 55.72254625776025)
taellestationer.40,52,VESTERBROGADE,sydvest for Rådhuspladsen,2B,Andre faste tællinger,3.0,,40,POINT (12.566772436603435 55.67536449909187)
taellestationer.41,53,VESTER FARIMAGSGADE,nord for Ved Vesterport,9,Andre faste tællinger,3.0,,41,POINT (12.561949332841799 55.67569778126639)
