database_id,TS,VEJNAVN,ÅR,DATO,KATEGORI,SUM ANTAL,ÅDT,HDT
5472,6,KAMPMANNSGADE ud for søerne ,2013,2013-09-04,A+B: KØRETØJER I ALT,4680,5500.0,6100.0
5472,6,KAMPMANNSGADE ud for søerne ,2013,2013-09-04,CYKLER + KNALLERTER I ALT,8229,8500.0,10000.0
5605,6,KAMPMANNSGADE ud for søerne ,2014,2014-09-18,A+B: KØRETØJER I ALT,4621,5400.0,6100.0
5605,6,KAMPMANNSGADE ud for søerne ,2014,2014-09-18,CYKLER + KNALLERTER I ALT,8095,8300.0,9900.0
5749,6,KAMPMANNSGADE ud for søerne ,2015,2015-09-22,A+B: KØRETØJER I ALT,5706,6700.0,7500.0
5749,6,KAMPMANNSGADE ud for søerne ,2015,2015-09-22,CYKLER + KNALLERTER I ALT,7330,7500.0,8900.0
5818,6,KAMPMANNSGADE ud for søerne,2016,2016-09-06,A+B: KØRETØJER I ALT,4558,5300.0,6000.0
5818,6,KAMPMANNSGADE ud for søerne,2016,2016-09-06,CYKLER + KNALLERTER I ALT,8870,9100.0,10800.0
5940,6,KAMPMANNSGADE ud for søerne,2017,2017-09-26,A+B: KØRETØJER I ALT,5869,6900.0,7700.0
5940,6,KAMPMANNSGADE ud for søerne,2017,2017-09-26,CYKLER + KNALLERTER I ALT,8252,8500.0,10100.0
6052,6,KAMPMANNSGADE ud for søerne,2018,2018-09-04,A+B: KØRETØJER I ALT,4618,5400.0,6000.0
6052,6,KAMPMANNSGADE ud for søerne,2018,2018-09-04,CYKLER + KNALLERTER I ALT,9553,9800.0,11700.0
6208,6,KAMPMANNSGADE ud for søerne,2019,2019-09-04,A+B: KØRETØJER I ALT,4691,5500.0,6100.0
6208,6,KAMPMANNSGADE ud for søerne,2019,2019-09-04,CYKLER + KNALLERTER I ALT,8203,8400.0,10000.0
6330,6,KAMPMANNSGADE ud for søerne,2020,2020-09-02,A+B: KØRETØJER I ALT,3938,4600.0,5200.0
6330,6,KAMPMANNSGADE ud for søerne,2020,2020-09-02,CYKLER + KNALLERTER I ALT,7731,8000.0,9400.0
6417,6,KAMPMANNSGADE ud for søerne,2021,2021-09-07,A+B: KØRETØJER I ALT,3602,4200.0,4700.0
6417,6,KAMPMANNSGADE ud for søerne,2021,2021-09-07,CYKLER + KNALLERTER I ALT,8537,8800.0,10400.0
6546,6,KAMPMANNSGADE ud for søerne,2022,2022-09-06,A+B: KØRETØJER I ALT,3537,4100.0,4600.0
6546,6,KAMPMANNSGADE ud for søerne,2022,2022-09-06,CYKLER + KNALLERTER I ALT,8767,9000.0,10700.0
6692,6,KAMPMANNSGADE ud for søerne,2023,2023-09-05,A+B: KØRETØJER I ALT,3459,4000.0,4500.0
6692,6,KAMPMANNSGADE ud for søerne,2023,2023-09-05,CYKLER + KNALLERTER I ALT,9098,9400.0,11100.0
4102,8,Englandsvej n.f. Følfodvej ,2013,2013-04-18,A+B: KØRETØJER I ALT,10664,12500.0,14000.0
4102,8,Englandsvej n.f. Følfodvej ,2013,2013-04-18,CYKLER + KNALLERTER I ALT,1470,1500.0,1800.0
